session_id,agent_id,profile_label,question_id,question_type,verdict_swap_off,verdict_swap_on,final_verdict
P07_ActIntVerSeq_I04_gen__MH_095,P07_ActIntVerSeq_I04_gen,Active-Intuitive-Verbal-Sequential,MH_095,,R1_WIN,,R1_WIN
P02_ActSenVisGlo_I04_gen__MH_029,P02_ActSenVisGlo_I04_gen,Active-Sensing-Visual-Global,MH_029,,R1_WIN,,R1_WIN
P08_ActIntVerGlo_I04_gen__MH_036,P08_ActIntVerGlo_I04_gen,Active-Intuitive-Verbal-Global,MH_036,,R1_WIN,,R1_WIN
P06_ActIntVisGlo_I02_int__MH_009,P06_ActIntVisGlo_I02_int,Active-Intuitive-Visual-Global,MH_009,,R1_WIN,,R1_WIN
P08_ActIntVerGlo_I01_beg__MH_030,P08_ActIntVerGlo_I01_beg,Active-Intuitive-Verbal-Global,MH_030,,R1_WIN,,R1_WIN
P02_ActSenVisGlo_I05_gen__MH_080,P02_ActSenVisGlo_I05_gen,Active-Sensing-Visual-Global,MH_080,,R1_WIN,,R1_WIN
P11_RefSenVerSeq_I04_gen__MH_075,P11_RefSenVerSeq_I04_gen,Reflective-Sensing-Verbal-Sequential,MH_075,,R1_WIN,,R1_WIN
P09_RefSenVisSeq_I03_adv__MH_042,P09_RefSenVisSeq_I03_adv,Reflective-Sensing-Visual-Sequential,MH_042,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I01_beg__MH_046,P03_ActSenVerSeq_I01_beg,Active-Sensing-Verbal-Sequential,MH_046,,R1_WIN,,R1_WIN
P05_ActIntVisSeq_I01_beg__MH_082,P05_ActIntVisSeq_I01_beg,Active-Intuitive-Visual-Sequential,MH_082,,R1_WIN,,R1_WIN
P13_RefIntVisSeq_I04_gen__MH_076,P13_RefIntVisSeq_I04_gen,Reflective-Intuitive-Visual-Sequential,MH_076,,R0_WIN,,R0_WIN
P07_ActIntVerSeq_I02_int__MH_093,P07_ActIntVerSeq_I02_int,Active-Intuitive-Verbal-Sequential,MH_093,,R1_WIN,,R1_WIN
P14_RefIntVisGlo_I01_beg__MH_086,P14_RefIntVisGlo_I01_beg,Reflective-Intuitive-Visual-Global,MH_086,,R1_WIN,,R1_WIN
P13_RefIntVisSeq_I05_gen__MH_046,P13_RefIntVisSeq_I05_gen,Reflective-Intuitive-Visual-Sequential,MH_046,,R1_WIN,,R1_WIN
P08_ActIntVerGlo_I04_gen__MH_042,P08_ActIntVerGlo_I04_gen,Active-Intuitive-Verbal-Global,MH_042,,R1_WIN,,R1_WIN
P11_RefSenVerSeq_I05_gen__MH_032,P11_RefSenVerSeq_I05_gen,Reflective-Sensing-Verbal-Sequential,MH_032,,R1_WIN,,R1_WIN
P05_ActIntVisSeq_I03_adv__MH_068,P05_ActIntVisSeq_I03_adv,Active-Intuitive-Visual-Sequential,MH_068,,R1_WIN,,R1_WIN
P09_RefSenVisSeq_I05_gen__MH_031,P09_RefSenVisSeq_I05_gen,Reflective-Sensing-Visual-Sequential,MH_031,,R1_WIN,,R1_WIN
P04_ActSenVerGlo_I02_int__MH_070,P04_ActSenVerGlo_I02_int,Active-Sensing-Verbal-Global,MH_070,,R1_WIN,,R1_WIN
P10_RefSenVisGlo_I03_adv__MH_015,P10_RefSenVisGlo_I03_adv,Reflective-Sensing-Visual-Global,MH_015,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I04_gen__MH_039,P15_RefIntVerSeq_I04_gen,Reflective-Intuitive-Verbal-Sequential,MH_039,,R1_WIN,,R1_WIN
P11_RefSenVerSeq_I03_adv__MH_107,P11_RefSenVerSeq_I03_adv,Reflective-Sensing-Verbal-Sequential,MH_107,,R1_WIN,,R1_WIN
P09_RefSenVisSeq_I02_int__MH_081,P09_RefSenVisSeq_I02_int,Reflective-Sensing-Visual-Sequential,MH_081,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I04_gen__MH_069,P15_RefIntVerSeq_I04_gen,Reflective-Intuitive-Verbal-Sequential,MH_069,,R1_WIN,,R1_WIN
P12_RefSenVerGlo_I05_gen__MH_079,P12_RefSenVerGlo_I05_gen,Reflective-Sensing-Verbal-Global,MH_079,,R1_WIN,,R1_WIN
P09_RefSenVisSeq_I05_gen__MH_070,P09_RefSenVisSeq_I05_gen,Reflective-Sensing-Visual-Sequential,MH_070,,R1_WIN,,R1_WIN
P01_ActSenVisSeq_I05_gen__MH_021,P01_ActSenVisSeq_I05_gen,Active-Sensing-Visual-Sequential,MH_021,,R1_WIN,,R1_WIN
P11_RefSenVerSeq_I04_gen__MH_029,P11_RefSenVerSeq_I04_gen,Reflective-Sensing-Verbal-Sequential,MH_029,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I02_int__MH_065,P15_RefIntVerSeq_I02_int,Reflective-Intuitive-Verbal-Sequential,MH_065,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I04_gen__MH_107,P03_ActSenVerSeq_I04_gen,Active-Sensing-Verbal-Sequential,MH_107,,R1_WIN,,R1_WIN
P09_RefSenVisSeq_I02_int__MH_082,P09_RefSenVisSeq_I02_int,Reflective-Sensing-Visual-Sequential,MH_082,,R1_WIN,,R1_WIN
P07_ActIntVerSeq_I03_adv__MH_041,P07_ActIntVerSeq_I03_adv,Active-Intuitive-Verbal-Sequential,MH_041,,R1_WIN,,R1_WIN
P05_ActIntVisSeq_I02_int__MH_056,P05_ActIntVisSeq_I02_int,Active-Intuitive-Visual-Sequential,MH_056,,R1_WIN,,R1_WIN
P10_RefSenVisGlo_I02_int__MH_103,P10_RefSenVisGlo_I02_int,Reflective-Sensing-Visual-Global,MH_103,,R1_WIN,,R1_WIN
P08_ActIntVerGlo_I05_gen__MH_001,P08_ActIntVerGlo_I05_gen,Active-Intuitive-Verbal-Global,MH_001,,R1_WIN,,R1_WIN
P14_RefIntVisGlo_I01_beg__MH_070,P14_RefIntVisGlo_I01_beg,Reflective-Intuitive-Visual-Global,MH_070,,R1_WIN,,R1_WIN
P04_ActSenVerGlo_I01_beg__MH_081,P04_ActSenVerGlo_I01_beg,Active-Sensing-Verbal-Global,MH_081,,R1_WIN,,R1_WIN
P02_ActSenVisGlo_I03_adv__MH_084,P02_ActSenVisGlo_I03_adv,Active-Sensing-Visual-Global,MH_084,,R1_WIN,,R1_WIN
P02_ActSenVisGlo_I01_beg__MH_080,P02_ActSenVisGlo_I01_beg,Active-Sensing-Visual-Global,MH_080,,R1_WIN,,R1_WIN
P16_RefIntVerGlo_I04_gen__MH_074,P16_RefIntVerGlo_I04_gen,Reflective-Intuitive-Verbal-Global,MH_074,,R1_WIN,,R1_WIN
P14_RefIntVisGlo_I02_int__MH_051,P14_RefIntVisGlo_I02_int,Reflective-Intuitive-Visual-Global,MH_051,,R1_WIN,,R1_WIN
P06_ActIntVisGlo_I02_int__MH_049,P06_ActIntVisGlo_I02_int,Active-Intuitive-Visual-Global,MH_049,,R1_WIN,,R1_WIN
P07_ActIntVerSeq_I04_gen__MH_065,P07_ActIntVerSeq_I04_gen,Active-Intuitive-Verbal-Sequential,MH_065,,R1_WIN,,R1_WIN
P08_ActIntVerGlo_I05_gen__MH_088,P08_ActIntVerGlo_I05_gen,Active-Intuitive-Verbal-Global,MH_088,,R1_WIN,,R1_WIN
P04_ActSenVerGlo_I03_adv__MH_001,P04_ActSenVerGlo_I03_adv,Active-Sensing-Verbal-Global,MH_001,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I05_gen__MH_031,P03_ActSenVerSeq_I05_gen,Active-Sensing-Verbal-Sequential,MH_031,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I02_int__MH_078,P03_ActSenVerSeq_I02_int,Active-Sensing-Verbal-Sequential,MH_078,,R1_WIN,,R1_WIN
P02_ActSenVisGlo_I05_gen__MH_008,P02_ActSenVisGlo_I05_gen,Active-Sensing-Visual-Global,MH_008,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I01_beg__MH_075,P15_RefIntVerSeq_I01_beg,Reflective-Intuitive-Verbal-Sequential,MH_075,,R1_WIN,,R1_WIN
P09_RefSenVisSeq_I02_int__MH_101,P09_RefSenVisSeq_I02_int,Reflective-Sensing-Visual-Sequential,MH_101,,R1_WIN,,R1_WIN
P12_RefSenVerGlo_I03_adv__MH_089,P12_RefSenVerGlo_I03_adv,Reflective-Sensing-Verbal-Global,MH_089,,R1_WIN,,R1_WIN
P04_ActSenVerGlo_I04_gen__MH_083,P04_ActSenVerGlo_I04_gen,Active-Sensing-Verbal-Global,MH_083,,R1_WIN,,R1_WIN
P06_ActIntVisGlo_I03_adv__MH_033,P06_ActIntVisGlo_I03_adv,Active-Intuitive-Visual-Global,MH_033,,R1_WIN,,R1_WIN
P05_ActIntVisSeq_I05_gen__MH_060,P05_ActIntVisSeq_I05_gen,Active-Intuitive-Visual-Sequential,MH_060,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I01_beg__MH_053,P15_RefIntVerSeq_I01_beg,Reflective-Intuitive-Verbal-Sequential,MH_053,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I02_int__MH_036,P03_ActSenVerSeq_I02_int,Active-Sensing-Verbal-Sequential,MH_036,,R1_WIN,,R1_WIN
P12_RefSenVerGlo_I02_int__MH_056,P12_RefSenVerGlo_I02_int,Reflective-Sensing-Verbal-Global,MH_056,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I04_gen__MH_087,P03_ActSenVerSeq_I04_gen,Active-Sensing-Verbal-Sequential,MH_087,,R1_WIN,,R1_WIN
P01_ActSenVisSeq_I01_beg__MH_003,P01_ActSenVisSeq_I01_beg,Active-Sensing-Visual-Sequential,MH_003,,R1_WIN,,R1_WIN
P09_RefSenVisSeq_I01_beg__MH_079,P09_RefSenVisSeq_I01_beg,Reflective-Sensing-Visual-Sequential,MH_079,,R1_WIN,,R1_WIN
P04_ActSenVerGlo_I02_int__MH_073,P04_ActSenVerGlo_I02_int,Active-Sensing-Verbal-Global,MH_073,,R1_WIN,,R1_WIN
P13_RefIntVisSeq_I02_int__MH_089,P13_RefIntVisSeq_I02_int,Reflective-Intuitive-Visual-Sequential,MH_089,,R1_WIN,,R1_WIN
P06_ActIntVisGlo_I03_adv__MH_088,P06_ActIntVisGlo_I03_adv,Active-Intuitive-Visual-Global,MH_088,,R1_WIN,,R1_WIN
P16_RefIntVerGlo_I04_gen__MH_101,P16_RefIntVerGlo_I04_gen,Reflective-Intuitive-Verbal-Global,MH_101,,R1_WIN,,R1_WIN
P16_RefIntVerGlo_I04_gen__MH_065,P16_RefIntVerGlo_I04_gen,Reflective-Intuitive-Verbal-Global,MH_065,,R1_WIN,,R1_WIN
P12_RefSenVerGlo_I01_beg__MH_030,P12_RefSenVerGlo_I01_beg,Reflective-Sensing-Verbal-Global,MH_030,,R1_WIN,,R1_WIN
P05_ActIntVisSeq_I02_int__MH_049,P05_ActIntVisSeq_I02_int,Active-Intuitive-Visual-Sequential,MH_049,,R1_WIN,,R1_WIN
P08_ActIntVerGlo_I05_gen__MH_095,P08_ActIntVerGlo_I05_gen,Active-Intuitive-Verbal-Global,MH_095,,R1_WIN,,R1_WIN
P11_RefSenVerSeq_I03_adv__MH_091,P11_RefSenVerSeq_I03_adv,Reflective-Sensing-Verbal-Sequential,MH_091,,R1_WIN,,R1_WIN
P14_RefIntVisGlo_I05_gen__MH_056,P14_RefIntVisGlo_I05_gen,Reflective-Intuitive-Visual-Global,MH_056,,R1_WIN,,R1_WIN
P09_RefSenVisSeq_I01_beg__MH_045,P09_RefSenVisSeq_I01_beg,Reflective-Sensing-Visual-Sequential,MH_045,,R1_WIN,,R1_WIN
P10_RefSenVisGlo_I01_beg__MH_093,P10_RefSenVisGlo_I01_beg,Reflective-Sensing-Visual-Global,MH_093,,R1_WIN,,R1_WIN
P14_RefIntVisGlo_I05_gen__MH_015,P14_RefIntVisGlo_I05_gen,Reflective-Intuitive-Visual-Global,MH_015,,R1_WIN,,R1_WIN
P02_ActSenVisGlo_I01_beg__MH_056,P02_ActSenVisGlo_I01_beg,Active-Sensing-Visual-Global,MH_056,,R1_WIN,,R1_WIN
P08_ActIntVerGlo_I02_int__MH_068,P08_ActIntVerGlo_I02_int,Active-Intuitive-Verbal-Global,MH_068,,R1_WIN,,R1_WIN
P12_RefSenVerGlo_I04_gen__MH_027,P12_RefSenVerGlo_I04_gen,Reflective-Sensing-Verbal-Global,MH_027,,R1_WIN,,R1_WIN
P10_RefSenVisGlo_I03_adv__MH_027,P10_RefSenVisGlo_I03_adv,Reflective-Sensing-Visual-Global,MH_027,,R1_WIN,,R1_WIN
P05_ActIntVisSeq_I02_int__MH_104,P05_ActIntVisSeq_I02_int,Active-Intuitive-Visual-Sequential,MH_104,,R1_WIN,,R1_WIN
P10_RefSenVisGlo_I01_beg__MH_036,P10_RefSenVisGlo_I01_beg,Reflective-Sensing-Visual-Global,MH_036,,R0_WIN,,R0_WIN
P07_ActIntVerSeq_I05_gen__MH_096,P07_ActIntVerSeq_I05_gen,Active-Intuitive-Verbal-Sequential,MH_096,,R0_WIN,,R0_WIN
P10_RefSenVisGlo_I04_gen__MH_023,P10_RefSenVisGlo_I04_gen,Reflective-Sensing-Visual-Global,MH_023,,R1_WIN,,R1_WIN
P13_RefIntVisSeq_I03_adv__MH_037,P13_RefIntVisSeq_I03_adv,Reflective-Intuitive-Visual-Sequential,MH_037,,R1_WIN,,R1_WIN
P13_RefIntVisSeq_I03_adv__MH_056,P13_RefIntVisSeq_I03_adv,Reflective-Intuitive-Visual-Sequential,MH_056,,R0_WIN,,R0_WIN
P08_ActIntVerGlo_I04_gen__MH_050,P08_ActIntVerGlo_I04_gen,Active-Intuitive-Verbal-Global,MH_050,,R1_WIN,,R1_WIN
P10_RefSenVisGlo_I02_int__MH_069,P10_RefSenVisGlo_I02_int,Reflective-Sensing-Visual-Global,MH_069,,R1_WIN,,R1_WIN
P01_ActSenVisSeq_I04_gen__MH_100,P01_ActSenVisSeq_I04_gen,Active-Sensing-Visual-Sequential,MH_100,,R1_WIN,,R1_WIN
P14_RefIntVisGlo_I05_gen__MH_053,P14_RefIntVisGlo_I05_gen,Reflective-Intuitive-Visual-Global,MH_053,,R1_WIN,,R1_WIN
P09_RefSenVisSeq_I04_gen__MH_080,P09_RefSenVisSeq_I04_gen,Reflective-Sensing-Visual-Sequential,MH_080,,R1_WIN,,R1_WIN
P11_RefSenVerSeq_I05_gen__MH_001,P11_RefSenVerSeq_I05_gen,Reflective-Sensing-Verbal-Sequential,MH_001,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I01_beg__MH_069,P15_RefIntVerSeq_I01_beg,Reflective-Intuitive-Verbal-Sequential,MH_069,,R1_WIN,,R1_WIN
P16_RefIntVerGlo_I04_gen__MH_094,P16_RefIntVerGlo_I04_gen,Reflective-Intuitive-Verbal-Global,MH_094,,R1_WIN,,R1_WIN
P14_RefIntVisGlo_I05_gen__MH_103,P14_RefIntVisGlo_I05_gen,Reflective-Intuitive-Visual-Global,MH_103,,R1_WIN,,R1_WIN
P13_RefIntVisSeq_I01_beg__MH_036,P13_RefIntVisSeq_I01_beg,Reflective-Intuitive-Visual-Sequential,MH_036,,R1_WIN,,R1_WIN
P01_ActSenVisSeq_I05_gen__MH_036,P01_ActSenVisSeq_I05_gen,Active-Sensing-Visual-Sequential,MH_036,,R1_WIN,,R1_WIN
P06_ActIntVisGlo_I05_gen__MH_100,P06_ActIntVisGlo_I05_gen,Active-Intuitive-Visual-Global,MH_100,,R1_WIN,,R1_WIN
P01_ActSenVisSeq_I05_gen__MH_031,P01_ActSenVisSeq_I05_gen,Active-Sensing-Visual-Sequential,MH_031,,R1_WIN,,R1_WIN
P16_RefIntVerGlo_I03_adv__MH_050,P16_RefIntVerGlo_I03_adv,Reflective-Intuitive-Verbal-Global,MH_050,,R1_WIN,,R1_WIN
P01_ActSenVisSeq_I02_int__MH_027,P01_ActSenVisSeq_I02_int,Active-Sensing-Visual-Sequential,MH_027,,R1_WIN,,R1_WIN
P03_ActSenVerSeq_I01_beg__MH_092,P03_ActSenVerSeq_I01_beg,Active-Sensing-Verbal-Sequential,MH_092,,R0_WIN,,R0_WIN
P16_RefIntVerGlo_I01_beg__MH_076,P16_RefIntVerGlo_I01_beg,Reflective-Intuitive-Verbal-Global,MH_076,,R1_WIN,,R1_WIN
P01_ActSenVisSeq_I01_beg__MH_045,P01_ActSenVisSeq_I01_beg,Active-Sensing-Visual-Sequential,MH_045,,R1_WIN,,R1_WIN
P13_RefIntVisSeq_I01_beg__MH_050,P13_RefIntVisSeq_I01_beg,Reflective-Intuitive-Visual-Sequential,MH_050,,R1_WIN,,R1_WIN
P01_ActSenVisSeq_I04_gen__MH_036,P01_ActSenVisSeq_I04_gen,Active-Sensing-Visual-Sequential,MH_036,,R1_WIN,,R1_WIN
P16_RefIntVerGlo_I03_adv__MH_060,P16_RefIntVerGlo_I03_adv,Reflective-Intuitive-Verbal-Global,MH_060,,R1_WIN,,R1_WIN
P16_RefIntVerGlo_I02_int__MH_035,P16_RefIntVerGlo_I02_int,Reflective-Intuitive-Verbal-Global,MH_035,,R1_WIN,,R1_WIN
P04_ActSenVerGlo_I05_gen__MH_088,P04_ActSenVerGlo_I05_gen,Active-Sensing-Verbal-Global,MH_088,,R1_WIN,,R1_WIN
P15_RefIntVerSeq_I05_gen__MH_009,P15_RefIntVerSeq_I05_gen,Reflective-Intuitive-Verbal-Sequential,MH_009,,R1_WIN,,R1_WIN
P11_RefSenVerSeq_I04_gen__MH_108,P11_RefSenVerSeq_I04_gen,Reflective-Sensing-Verbal-Sequential,MH_108,,R1_WIN,,R1_WIN
P14_RefIntVisGlo_I05_gen__MH_095,P14_RefIntVisGlo_I05_gen,Reflective-Intuitive-Visual-Global,MH_095,,R1_WIN,,R1_WIN
P11_RefSenVerSeq_I03_adv__MH_108,P11_RefSenVerSeq_I03_adv,Reflective-Sensing-Verbal-Sequential,MH_108,,R1_WIN,,R1_WIN
P09_RefSenVisSeq_I03_adv__MH_039,P09_RefSenVisSeq_I03_adv,Reflective-Sensing-Visual-Sequential,MH_039,,R1_WIN,,R1_WIN
P13_RefIntVisSeq_I04_gen__MH_081,P13_RefIntVisSeq_I04_gen,Reflective-Intuitive-Visual-Sequential,MH_081,,R0_WIN,,R0_WIN
P12_RefSenVerGlo_I04_gen__MH_081,P12_RefSenVerGlo_I04_gen,Reflective-Sensing-Verbal-Global,MH_081,,R1_WIN,,R1_WIN
